published_date,close
2020-03-02,355.1904761904762
2020-03-03,360.5238095238095
2020-03-04,343.7142857142857
2020-03-05,339.6190476190476
2020-03-10,317.42857142857144
2020-03-11,335.9047619047619
2020-03-12,324.7142857142857
2020-03-15,308.8095238095238
2020-03-16,309.3809523809524
2020-03-17,300.0
2020-03-18,295.6666666666667
2020-03-19,299.57142857142856
2020-03-22,292.7142857142857
2020-05-12,301.8125
2020-05-13,299.4375
2020-06-29,271.7142857142857
2020-06-30,290.6190476190476
2020-07-01,313.76190476190476
2020-07-02,290.8095238095238
2020-07-05,291.2857142857143
2020-07-06,297.0952380952381
2020-07-07,304.6666666666667
2020-07-08,301.3333333333333
2020-07-09,301.0952380952381
2020-07-12,300.14285714285717
2020-07-13,300.8095238095238
2020-07-14,301.3809523809524
2020-07-15,307.4761904761905
2020-07-16,318.3809523809524
2020-07-19,340.6190476190476
2020-07-20,342.2857142857143
2020-07-21,336.9047619047619
2020-07-22,331.4761904761905
2020-07-23,332.23809523809524
2020-07-26,336.14285714285717
2020-07-27,335.76190476190476
2020-07-28,334.3809523809524
2020-07-29,328.14285714285717
2020-07-30,329.6666666666667
2020-08-02,319.0952380952381
2020-08-03,320.8095238095238
2020-08-05,315.1904761904762
2020-08-06,314.1904761904762
2020-08-09,315.9047619047619
2020-08-10,324.42857142857144
2020-08-11,322.7142857142857
2020-08-12,323.57142857142856
2020-08-13,318.8095238095238
2020-08-16,313.1904761904762
2020-08-17,315.14285714285717
2020-08-18,314.6190476190476
2020-08-19,310.8095238095238
2020-08-20,312.4761904761905
2020-08-23,313.3809523809524
2020-08-24,317.7142857142857
2020-08-25,318.3333333333333
2020-08-26,324.85714285714283
2020-08-27,323.3333333333333
2020-08-30,321.5238095238095
2020-08-31,322.57142857142856
2020-09-02,327.4761904761905
2020-09-03,326.7142857142857
2020-09-06,324.3333333333333
2020-09-07,319.6190476190476
2020-09-08,318.8095238095238
2020-09-09,318.42857142857144
2020-09-10,319.42857142857144
2020-09-13,320.42857142857144
2020-09-14,324.4761904761905
2020-09-15,323.6666666666667
2020-09-16,322.6190476190476
2020-09-17,330.7142857142857
2020-09-20,335.8095238095238
2020-09-21,334.3809523809524
2020-09-22,328.42857142857144
2020-09-23,328.5238095238095
2020-09-24,328.95238095238096
2020-09-27,333.2857142857143
2020-09-28,332.14285714285717
2020-09-29,329.04761904761904
2020-09-30,328.1904761904762
2020-10-01,332.57142857142856
2020-10-04,337.1904761904762
2020-10-05,336.3809523809524
2020-10-06,336.0
2020-10-07,337.85714285714283
2020-10-08,334.6666666666667
2020-10-11,331.57142857142856
2020-10-12,332.14285714285717
2020-10-13,329.6190476190476
2020-10-14,328.6666666666667
2020-10-15,329.1904761904762
2020-10-18,327.42857142857144
2020-10-19,329.5238095238095
2020-10-20,331.6190476190476
2020-10-21,336.4761904761905
2020-10-22,339.9047619047619
2020-10-28,355.85714285714283
2020-10-29,353.76190476190476
2020-11-01,348.4761904761905
2020-11-02,344.0952380952381
2020-11-03,343.2857142857143
2020-11-04,342.2857142857143
2020-11-05,338.85714285714283
2020-11-08,338.2857142857143
2020-11-09,334.85714285714283
2020-11-10,336.6666666666667
2020-11-11,339.95238095238096
2020-11-12,343.0
2020-11-18,340.04761904761904
2020-11-19,340.7142857142857
2020-11-22,345.95238095238096
2020-11-23,346.7142857142857
2020-11-24,346.95238095238096
2020-11-25,354.76190476190476
