published_date,close
2020-03-02,139.625
2020-03-03,138.16
2020-03-04,132.66666666666666
2020-03-05,132.8
2020-03-10,129.2608695652174
2020-03-11,132.64
2020-03-12,128.64
2020-03-15,124.52
2020-03-16,124.36
2020-03-17,120.6
2020-03-18,124.0
2020-03-19,120.84
2020-03-22,151.78571428571428
2020-05-12,145.1
2020-05-13,145.4
2020-06-29,116.45
2020-06-30,148.53333333333333
2020-07-01,150.625
2020-07-02,127.15789473684211
2020-07-05,122.375
2020-07-06,120.4008
2020-07-07,123.2
2020-07-08,122.28280000000001
2020-07-09,122.8952
2020-07-12,122.8432
2020-07-13,123.24520000000001
2020-07-14,124.935
2020-07-15,123.94
2020-07-16,125.08
2020-07-19,177.0909090909091
2020-07-20,127.5008
2020-07-21,125.7752
2020-07-22,124.272
2020-07-23,125.2788
2020-07-26,125.63
2020-07-27,124.7184
2020-07-28,124.89
2020-07-29,125.12
2020-07-30,127.84
2020-08-02,125.52
2020-08-03,125.0
2020-08-05,124.92
2020-08-06,124.16
2020-08-09,124.04
2020-08-10,126.1592
2020-08-11,126.20479999999999
2020-08-12,125.4
2020-08-13,125.28
2020-08-16,125.6
2020-08-17,125.04
2020-08-18,125.8808
2020-08-19,125.264
2020-08-20,126.16
2020-08-23,125.7992
2020-08-24,127.0
2020-08-25,127.6
2020-08-26,128.3252
2020-08-27,128.68
2020-08-30,130.4
2020-08-31,136.72
2020-09-02,149.24
2020-09-03,146.28
2020-09-06,148.2
2020-09-07,148.44
2020-09-08,148.96
2020-09-09,148.68
2020-09-10,149.04
2020-09-13,155.48
2020-09-14,161.12
2020-09-15,161.32
2020-09-16,172.32
2020-09-17,185.36
2020-09-20,177.2
2020-09-21,177.0
2020-09-22,172.08
2020-09-23,180.0
2020-09-24,189.4
2020-09-27,189.64
2020-09-28,188.32
2020-09-29,195.2
2020-09-30,197.92
2020-10-01,195.24
2020-10-04,193.84
2020-10-05,198.84
2020-10-06,210.52
2020-10-07,226.28
2020-10-08,219.92
2020-10-11,214.28
2020-10-12,212.6
2020-10-13,205.92
2020-10-14,202.28
2020-10-15,202.6
2020-10-18,200.79166666666666
2020-10-19,210.0
2020-10-20,217.04
2020-10-21,213.68
